"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2022","UHF 42","303","4","East Harlem","16.7","15.9","17.3"
"Annual Average 2022","UHF 42","304","4","Upper West Side","18.2","17.0","19.6"
"Annual Average 2022","UHF 42","305","4","Upper East Side","18.8","16.5","20.9"
"Annual Average 2022","UHF 42","306","4","Chelsea - Clinton","22.9","19.2","27.0"
"Annual Average 2022","UHF 42","307","4","Gramercy Park - Murray Hill","22.9","19.3","26.8"
"Annual Average 2022","UHF 42","308","4","Greenwich Village - SoHo","20.5","19.2","21.8"
"Annual Average 2022","UHF 42","309","4","Union Square - Lower East Side","18.0","15.9","20.4"
"Annual Average 2022","UHF 42","310","4","Lower Manhattan","20.8","19.2","22.5"
"Annual Average 2022","UHF 42","401","4","Long Island City - Astoria","17.4","15.6","19.5"
"Annual Average 2022","UHF 42","402","4","West Queens","16.9","15.2","19.7"
"Annual Average 2022","UHF 42","403","4","Flushing - Clearview","15.2","14.1","16.5"
"Annual Average 2022","UHF 42","404","4","Bayside - Little Neck","14.8","13.4","16.5"
"Annual Average 2022","UHF 42","405","4","Ridgewood - Forest Hills","15.2","13.6","16.9"
"Annual Average 2022","UHF 42","406","4","Fresh Meadows","14.8","14.0","15.9"
"Annual Average 2022","UHF 42","407","4","Southwest Queens","14.3","12.9","15.7"
"Annual Average 2022","UHF 42","408","4","Jamaica","14.9","13.6","16.9"
"Annual Average 2022","UHF 42","409","4","Southeast Queens","14.1","13.3","15.0"
"Annual Average 2022","UHF 42","410","4","Rockaways","11.4","10.4","12.3"
"Annual Average 2022","UHF 42","501","4","Port Richmond","13.5","12.7","14.3"
"Annual Average 2022","UHF 42","502","4","Stapleton - St. George","13.1","11.6","14.3"
"Annual Average 2022","UHF 42","503","4","Willowbrook","11.9","10.3","14.0"
"Annual Average 2022","UHF 42","504","4","South Beach - Tottenville","9.5","7.7","11.2"
"Annual Average 2021","UHF 42","101","4","Kingsbridge - Riverdale","14.8","13.0","17.4"
"Annual Average 2021","UHF 42","102","4","Northeast Bronx","16.0","15.1","16.7"
"Annual Average 2021","UHF 42","103","4","Fordham - Bronx Pk","16.0","13.5","17.7"
"Annual Average 2021","UHF 42","104","4","Pelham - Throgs Neck","16.0","13.9","17.8"
"Annual Average 2021","UHF 42","105","4","Crotona -Tremont","17.6","16.3","18.8"
"Annual Average 2021","UHF 42","106","4","High Bridge - Morrisania","18.0","17.3","18.9"
"Annual Average 2021","UHF 42","107","4","Hunts Point - Mott Haven","18.5","15.4","21.6"
"Annual Average 2021","UHF 42","201","4","Greenpoint","20.6","18.6","23.1"
"Annual Average 2021","UHF 42","202","4","Downtown - Heights - Slope","18.8","17.3","20.0"
"Annual Average 2021","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","17.1","16.4","18.1"
"Annual Average 2021","UHF 42","204","4","East New York","16.1","14.0","18.0"
"Annual Average 2021","UHF 42","205","4","Sunset Park","18.0","14.4","21.8"
"Annual Average 2021","UHF 42","206","4","Borough Park","16.7","15.8","17.6"
"Annual Average 2021","UHF 42","207","4","East Flatbush - Flatbush","16.4","15.5","17.4"
"Annual Average 2021","UHF 42","208","4","Canarsie - Flatlands","14.3","11.0","16.8"
"Annual Average 2021","UHF 42","209","4","Bensonhurst - Bay Ridge","16.0","14.0","17.4"
"Annual Average 2021","UHF 42","210","4","Coney Island - Sheepshead Bay","14.7","12.9","16.0"
"Annual Average 2021","UHF 42","211","4","Williamsburg - Bushwick","19.0","16.9","22.3"
"Annual Average 2021","UHF 42","301","4","Washington Heights","17.1","14.5","19.1"
"Annual Average 2021","UHF 42","302","4","Central Harlem - Morningside Heights","18.2","17.4","18.9"
"Annual Average 2021","UHF 42","303","4","East Harlem","18.3","17.2","18.9"
"Annual Average 2021","UHF 42","304","4","Upper West Side","19.2","17.7","20.5"
"Annual Average 2021","UHF 42","305","4","Upper East Side","20.3","17.5","22.3"
"Annual Average 2021","UHF 42","306","4","Chelsea - Clinton","23.3","20.8","26.3"
"Annual Average 2021","UHF 42","307","4","Gramercy Park - Murray Hill","23.5","20.9","26.3"
"Annual Average 2021","UHF 42","308","4","Greenwich Village - SoHo","21.3","20.5","22.2"
"Annual Average 2021","UHF 42","309","4","Union Square - Lower East Side","19.6","17.4","21.8"
"Annual Average 2021","UHF 42","310","4","Lower Manhattan","21.5","20.1","22.8"
"Annual Average 2021","UHF 42","401","4","Long Island City - Astoria","19.0","16.9","22.0"
"Annual Average 2021","UHF 42","402","4","West Queens","18.6","16.4","22.6"
"Annual Average 2021","UHF 42","403","4","Flushing - Clearview","15.7","14.3","17.2"
"Annual Average 2021","UHF 42","404","4","Bayside - Little Neck","13.9","12.3","15.6"
"Annual Average 2021","UHF 42","405","4","Ridgewood - Forest Hills","16.0","13.6","17.8"
"Annual Average 2021","UHF 42","406","4","Fresh Meadows","14.9","13.7","15.7"
"Annual Average 2021","UHF 42","407","4","Southwest Queens","15.1","13.9","16.2"
"Annual Average 2021","UHF 42","408","4","Jamaica","15.3","13.6","17.1"
"Annual Average 2021","UHF 42","409","4","Southeast Queens","14.3","13.2","15.1"
"Annual Average 2021","UHF 42","410","4","Rockaways","11.4","9.7","12.6"
"Annual Average 2021","UHF 42","501","4","Port Richmond","15.7","14.3","16.6"
"Annual Average 2021","UHF 42","502","4","Stapleton - St. George","14.3","12.4","15.9"
"Annual Average 2021","UHF 42","503","4","Willowbrook","13.3","10.9","15.7"
"Annual Average 2021","UHF 42","504","4","South Beach - Tottenville","11.3","9.3","13.4"
"Annual Average 2020","UHF 42","101","4","Kingsbridge - Riverdale","15.9","14.1","18.5"
"Annual Average 2020","UHF 42","102","4","Northeast Bronx","16.8","15.9","17.5"
"Annual Average 2020","UHF 42","103","4","Fordham - Bronx Pk","17.0","14.5","18.8"
"Annual Average 2020","UHF 42","104","4","Pelham - Throgs Neck","16.2","13.9","17.9"
"Annual Average 2020","UHF 42","105","4","Crotona -Tremont","18.5","17.1","19.8"
"Annual Average 2020","UHF 42","106","4","High Bridge - Morrisania","18.9","18.1","19.6"
"Annual Average 2020","UHF 42","107","4","Hunts Point - Mott Haven","18.4","15.5","20.3"
"Annual Average 2020","UHF 42","201","4","Greenpoint","19.6","18.2","21.0"
"Annual Average 2020","UHF 42","202","4","Downtown - Heights - Slope","18.3","16.8","19.4"
"Annual Average 2020","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","17.1","16.5","17.9"
"Annual Average 2020","UHF 42","204","4","East New York","15.7","13.9","16.9"
"Annual Average 2020","UHF 42","205","4","Sunset Park","16.8","13.6","19.3"
"Annual Average 2020","UHF 42","206","4","Borough Park","16.0","15.1","16.9"
"Annual Average 2020","UHF 42","207","4","East Flatbush - Flatbush","16.1","15.0","17.1"
"Annual Average 2020","UHF 42","208","4","Canarsie - Flatlands","13.8","10.2","16.3"
"Annual Average 2020","UHF 42","209","4","Bensonhurst - Bay Ridge","14.8","12.7","16.2"
"Annual Average 2020","UHF 42","210","4","Coney Island - Sheepshead Bay","13.8","11.8","15.2"
"Annual Average 2020","UHF 42","211","4","Williamsburg - Bushwick","18.5","17.0","20.8"
"Annual Average 2020","UHF 42","301","4","Washington Heights","18.1","15.5","20.1"
"Annual Average 2020","UHF 42","302","4","Central Harlem - Morningside Heights","19.0","18.1","19.7"
"Annual Average 2020","UHF 42","303","4","East Harlem","18.8","17.6","19.4"
"Annual Average 2020","UHF 42","304","4","Upper West Side","19.6","18.2","20.9"
"Annual Average 2020","UHF 42","305","4","Upper East Side","20.9","18.0","22.9"
"Annual Average 2020","UHF 42","306","4","Chelsea - Clinton","23.9","20.6","27.5"
"Annual Average 2020","UHF 42","307","4","Gramercy Park - Murray Hill","24.3","21.2","27.4"
"Annual Average 2020","UHF 42","308","4","Greenwich Village - SoHo","21.3","19.9","22.5"
"Annual Average 2020","UHF 42","309","4","Union Square - Lower East Side","19.7","17.3","22.1"
"Annual Average 2020","UHF 42","310","4","Lower Manhattan","21.6","20.0","23.0"
"Annual Average 2020","UHF 42","401","4","Long Island City - Astoria","18.9","17.3","21.2"
"Annual Average 2020","UHF 42","402","4","West Queens","17.8","16.4","19.9"
"Annual Average 2020","UHF 42","403","4","Flushing - Clearview","15.6","13.9","17.8"
"Annual Average 2020","UHF 42","404","4","Bayside - Little Neck","13.2","11.5","14.9"
"Annual Average 2020","UHF 42","405","4","Ridgewood - Forest Hills","15.7","13.5","17.8"
"Annual Average 2020","UHF 42","406","4","Fresh Meadows","14.4","13.1","15.2"
"Annual Average 2020","UHF 42","407","4","Southwest Queens","14.8","13.6","15.9"
"Annual Average 2020","UHF 42","408","4","Jamaica","14.2","12.9","15.9"
"Annual Average 2020","UHF 42","409","4","Southeast Queens","13.0","12.0","14.0"
"Annual Average 2020","UHF 42","410","4","Rockaways","10.6","8.8","11.8"
"Annual Average 2020","UHF 42","501","4","Port Richmond","14.2","12.8","15.0"
"Annual Average 2020","UHF 42","502","4","Stapleton - St. George","12.6","10.6","14.1"
"Annual Average 2020","UHF 42","503","4","Willowbrook","11.8","9.3","13.9"
"Annual Average 2020","UHF 42","504","4","South Beach - Tottenville","10.6","8.6","12.3"
"Annual Average 2019","UHF 42","101","4","Kingsbridge - Riverdale","13.5","11.2","16.7"
"Annual Average 2019","UHF 42","102","4","Northeast Bronx","14.7","13.7","15.5"
"Annual Average 2019","UHF 42","103","4","Fordham - Bronx Pk","15.2","11.8","17.6"
"Annual Average 2019","UHF 42","104","4","Pelham - Throgs Neck","15.5","13.1","17.5"
"Annual Average 2019","UHF 42","105","4","Crotona -Tremont","17.6","16.2","18.9"
"Annual Average 2019","UHF 42","106","4","High Bridge - Morrisania","18.8","17.8","19.6"
"Annual Average 2019","UHF 42","107","4","Hunts Point - Mott Haven","18.8","15.4","21.2"
"Annual Average 2019","UHF 42","201","4","Greenpoint","21.4","19.6","23.2"
"Annual Average 2019","UHF 42","202","4","Downtown - Heights - Slope","20.0","18.3","21.4"
"Annual Average 2019","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","17.7","16.7","19.1"
"Annual Average 2019","UHF 42","204","4","East New York","15.8","13.7","17.2"
"Annual Average 2019","UHF 42","205","4","Sunset Park","18.5","14.6","21.5"
"Annual Average 2019","UHF 42","206","4","Borough Park","16.7","15.3","18.1"
"Annual Average 2019","UHF 42","207","4","East Flatbush - Flatbush","16.3","14.9","17.7"
"Annual Average 2019","UHF 42","208","4","Canarsie - Flatlands","13.1","9.0","16.4"
"Annual Average 2019","UHF 42","209","4","Bensonhurst - Bay Ridge","15.7","13.2","17.7"
"Annual Average 2019","UHF 42","210","4","Coney Island - Sheepshead Bay","13.5","11.4","15.2"
"Annual Average 2019","UHF 42","211","4","Williamsburg - Bushwick","19.7","17.6","22.9"
"Annual Average 2019","UHF 42","301","4","Washington Heights","17.3","14.2","19.5"
"Annual Average 2019","UHF 42","302","4","Central Harlem - Morningside Heights","19.7","18.5","20.7"
"Annual Average 2019","UHF 42","303","4","East Harlem","19.4","17.9","20.4"
"Annual Average 2019","UHF 42","304","4","Upper West Side","20.8","19.2","22.2"
"Annual Average 2019","UHF 42","305","4","Upper East Side","22.1","19.0","24.4"
"Annual Average 2019","UHF 42","306","4","Chelsea - Clinton","26.0","22.4","29.9"
"Annual Average 2019","UHF 42","307","4","Gramercy Park - Murray Hill","26.2","22.7","29.6"
"Annual Average 2019","UHF 42","308","4","Greenwich Village - SoHo","23.6","21.8","24.9"
"Annual Average 2019","UHF 42","309","4","Union Square - Lower East Side","21.6","18.8","24.2"
"Annual Average 2019","UHF 42","310","4","Lower Manhattan","24.2","22.4","25.8"
"Annual Average 2019","UHF 42","401","4","Long Island City - Astoria","20.2","18.0","23.4"
"Annual Average 2019","UHF 42","402","4","West Queens","18.7","16.9","21.5"
"Annual Average 2019","UHF 42","403","4","Flushing - Clearview","16.3","14.3","18.9"
"Annual Average 2019","UHF 42","404","4","Bayside - Little Neck","14.2","12.3","15.9"
"Annual Average 2019","UHF 42","405","4","Ridgewood - Forest Hills","16.2","13.6","18.6"
"Annual Average 2019","UHF 42","406","4","Fresh Meadows","15.4","14.1","16.2"
"Annual Average 2019","UHF 42","407","4","Southwest Queens","15.1","13.6","16.6"
"Annual Average 2019","UHF 42","408","4","Jamaica","15.5","14.1","17.5"
"Annual Average 2019","UHF 42","409","4","Southeast Queens","14.5","13.3","15.7"
"Annual Average 2019","UHF 42","410","4","Rockaways","10.0","8.1","11.8"
"Annual Average 2019","UHF 42","501","4","Port Richmond","15.7","14.1","16.8"
"Annual Average 2019","UHF 42","502","4","Stapleton - St. George","13.3","10.5","15.9"
"Annual Average 2019","UHF 42","503","4","Willowbrook","12.2","9.9","14.4"
"Annual Average 2019","UHF 42","504","4","South Beach - Tottenville","10.2","8.1","12.1"
"Annual Average 2018","UHF 42","101","4","Kingsbridge - Riverdale","15.8","13.6","18.8"
"Annual Average 2018","UHF 42","102","4","Northeast Bronx","16.2","15.1","17.0"
"Annual Average 2018","UHF 42","103","4","Fordham - Bronx Pk","17.2","13.6","20.0"
"Annual Average 2018","UHF 42","104","4","Pelham - Throgs Neck","16.9","14.3","19.2"
"Annual Average 2018","UHF 42","105","4","Crotona -Tremont","19.8","18.2","21.3"
"Annual Average 2018","UHF 42","106","4","High Bridge - Morrisania","20.8","19.8","21.7"
"Annual Average 2018","UHF 42","107","4","Hunts Point - Mott Haven","20.2","16.8","22.5"
"Annual Average 2018","UHF 42","201","4","Greenpoint","21.9","20.7","22.8"
"Annual Average 2018","UHF 42","202","4","Downtown - Heights - Slope","21.1","19.4","22.6"
"Annual Average 2018","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","19.4","18.5","20.7"
"Annual Average 2018","UHF 42","204","4","East New York","17.6","15.3","18.9"
"Annual Average 2018","UHF 42","205","4","Sunset Park","19.7","15.8","22.6"
"Annual Average 2018","UHF 42","206","4","Borough Park","18.1","16.6","19.6"
"Annual Average 2018","UHF 42","207","4","East Flatbush - Flatbush","17.9","16.4","19.4"
"Annual Average 2018","UHF 42","208","4","Canarsie - Flatlands","14.5","9.8","18.1"
"Annual Average 2018","UHF 42","209","4","Bensonhurst - Bay Ridge","16.9","14.1","19.0"
"Annual Average 2018","UHF 42","210","4","Coney Island - Sheepshead Bay","14.4","12.0","16.3"
"Annual Average 2018","UHF 42","211","4","Williamsburg - Bushwick","20.9","19.1","23.5"
"Annual Average 2018","UHF 42","301","4","Washington Heights","19.7","16.7","22.1"
"Annual Average 2018","UHF 42","302","4","Central Harlem - Morningside Heights","21.7","20.3","22.8"
"Annual Average 2018","UHF 42","303","4","East Harlem","20.9","19.3","21.9"
"Annual Average 2018","UHF 42","304","4","Upper West Side","22.2","20.8","23.3"
"Annual Average 2018","UHF 42","305","4","Upper East Side","23.4","19.1","26.6"
"Annual Average 2018","UHF 42","306","4","Chelsea - Clinton","27.6","23.2","32.4"
"Annual Average 2018","UHF 42","307","4","Gramercy Park - Murray Hill","28.7","24.5","32.3"
"Annual Average 2018","UHF 42","308","4","Greenwich Village - SoHo","24.8","22.8","26.2"
"Annual Average 2018","UHF 42","309","4","Union Square - Lower East Side","22.9","19.6","26.3"
"Annual Average 2018","UHF 42","310","4","Lower Manhattan","25.1","23.4","26.8"
"Annual Average 2018","UHF 42","401","4","Long Island City - Astoria","20.9","19.0","23.4"
"Annual Average 2018","UHF 42","402","4","West Queens","19.9","18.3","21.7"
"Annual Average 2018","UHF 42","403","4","Flushing - Clearview","17.6","15.8","19.9"
"Annual Average 2018","UHF 42","404","4","Bayside - Little Neck","15.8","13.8","17.7"
"Annual Average 2018","UHF 42","405","4","Ridgewood - Forest Hills","17.9","15.4","20.0"
"Annual Average 2018","UHF 42","406","4","Fresh Meadows","17.3","15.9","18.3"
"Annual Average 2018","UHF 42","407","4","Southwest Queens","17.2","15.5","18.8"
"Annual Average 2018","UHF 42","408","4","Jamaica","17.6","16.1","19.5"
"Annual Average 2018","UHF 42","409","4","Southeast Queens","16.2","14.8","17.6"
"Annual Average 2018","UHF 42","410","4","Rockaways","10.5","8.6","12.5"
"Annual Average 2018","UHF 42","501","4","Port Richmond","16.8","15.3","17.8"
"Annual Average 2018","UHF 42","502","4","Stapleton - St. George","14.3","11.3","17.0"
"Annual Average 2018","UHF 42","503","4","Willowbrook","13.6","10.8","15.9"
"Annual Average 2018","UHF 42","504","4","South Beach - Tottenville","11.0","9.0","12.8"
"Annual Average 2017","UHF 42","101","4","Kingsbridge - Riverdale","17.3","14.8","20.5"
"Annual Average 2017","UHF 42","102","4","Northeast Bronx","18.9","17.6","20.0"
"Annual Average 2017","UHF 42","103","4","Fordham - Bronx Pk","19.1","15.5","21.8"
"Annual Average 2017","UHF 42","104","4","Pelham - Throgs Neck","18.7","15.9","21.1"
"Annual Average 2017","UHF 42","105","4","Crotona -Tremont","21.1","19.4","22.7"
"Annual Average 2017","UHF 42","106","4","High Bridge - Morrisania","21.7","20.7","22.8"
"Annual Average 2017","UHF 42","107","4","Hunts Point - Mott Haven","20.4","17.9","22.1"
"Annual Average 2017","UHF 42","201","4","Greenpoint","21.2","19.7","22.7"
"Annual Average 2017","UHF 42","202","4","Downtown - Heights - Slope","21.1","19.0","22.9"
"Annual Average 2017","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","20.1","19.1","21.2"
"Annual Average 2017","UHF 42","204","4","East New York","18.3","15.7","19.8"
"Annual Average 2017","UHF 42","205","4","Sunset Park","18.9","15.5","21.3"
"Annual Average 2017","UHF 42","206","4","Borough Park","18.8","17.6","19.9"
"Annual Average 2017","UHF 42","207","4","East Flatbush - Flatbush","18.8","17.5","20.4"
"Annual Average 2017","UHF 42","208","4","Canarsie - Flatlands","15.6","11.3","18.3"
"Annual Average 2017","UHF 42","209","4","Bensonhurst - Bay Ridge","17.7","14.7","19.8"
"Annual Average 2017","UHF 42","210","4","Coney Island - Sheepshead Bay","16.1","13.7","17.9"
"Annual Average 2017","UHF 42","211","4","Williamsburg - Bushwick","20.7","20.0","21.4"
"Annual Average 2017","UHF 42","301","4","Washington Heights","20.6","17.4","23.1"
"Annual Average 2017","UHF 42","302","4","Central Harlem - Morningside Heights","22.6","21.0","24.0"
"Annual Average 2017","UHF 42","303","4","East Harlem","22.4","20.5","23.6"
"Annual Average 2017","UHF 42","304","4","Upper West Side","23.4","21.6","24.8"
"Annual Average 2017","UHF 42","305","4","Upper East Side","25.0","20.5","28.4"
"Annual Average 2017","UHF 42","306","4","Chelsea - Clinton","28.5","23.9","33.1"
"Annual Average 2017","UHF 42","307","4","Gramercy Park - Murray Hill","30.3","26.2","33.7"
"Annual Average 2017","UHF 42","308","4","Greenwich Village - SoHo","25.6","23.6","27.0"
"Annual Average 2017","UHF 42","309","4","Union Square - Lower East Side","24.2","20.7","27.7"
"Annual Average 2017","UHF 42","310","4","Lower Manhattan","25.8","24.2","27.4"
"Annual Average 2017","UHF 42","401","4","Long Island City - Astoria","21.0","19.3","22.1"
"Annual Average 2017","UHF 42","402","4","West Queens","20.6","19.2","21.7"
"Annual Average 2017","UHF 42","403","4","Flushing - Clearview","18.5","16.7","20.2"
"Annual Average 2017","UHF 42","404","4","Bayside - Little Neck","16.6","14.2","19.1"
"Annual Average 2017","UHF 42","405","4","Ridgewood - Forest Hills","18.6","15.7","20.9"
"Annual Average 2017","UHF 42","406","4","Fresh Meadows","18.1","16.5","19.3"
"Annual Average 2017","UHF 42","407","4","Southwest Queens","17.9","16.3","19.4"
"Annual Average 2017","UHF 42","408","4","Jamaica","17.7","16.1","19.5"
"Annual Average 2017","UHF 42","409","4","Southeast Queens","16.4","14.9","17.9"
"Annual Average 2017","UHF 42","410","4","Rockaways","12.7","10.4","14.3"
"Annual Average 2017","UHF 42","501","4","Port Richmond","17.0","14.8","18.4"
"Annual Average 2017","UHF 42","502","4","Stapleton - St. George","14.6","11.5","17.3"
"Annual Average 2017","UHF 42","503","4","Willowbrook","13.9","11.3","16.6"
"Annual Average 2017","UHF 42","504","4","South Beach - Tottenville","11.7","9.6","13.6"
"Annual Average 2016","UHF 42","101","4","Kingsbridge - Riverdale","16.0","13.5","19.5"
"Annual Average 2016","UHF 42","102","4","Northeast Bronx","17.5","16.1","18.7"
"Annual Average 2016","UHF 42","103","4","Fordham - Bronx Pk","17.9","14.1","20.8"
"Annual Average 2016","UHF 42","104","4","Pelham - Throgs Neck","17.9","15.1","20.4"
"Annual Average 2016","UHF 42","105","4","Crotona -Tremont","20.4","18.6","22.0"
"Annual Average 2016","UHF 42","106","4","High Bridge - Morrisania","21.1","20.0","22.2"
"Annual Average 2016","UHF 42","107","4","Hunts Point - Mott Haven","19.9","17.5","21.7"
"Annual Average 2016","UHF 42","201","4","Greenpoint","21.4","19.9","23.1"
"Annual Average 2016","UHF 42","202","4","Downtown - Heights - Slope","21.6","19.6","23.5"
"Annual Average 2016","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","20.2","19.0","21.5"
"Annual Average 2016","UHF 42","204","4","East New York","18.3","15.5","19.9"
"Annual Average 2016","UHF 42","205","4","Sunset Park","19.3","15.8","21.9"
"Annual Average 2016","UHF 42","206","4","Borough Park","18.9","17.5","20.1"
"Annual Average 2016","UHF 42","207","4","East Flatbush - Flatbush","18.9","17.4","20.6"
"Annual Average 2016","UHF 42","208","4","Canarsie - Flatlands","15.3","10.7","18.2"
"Annual Average 2016","UHF 42","209","4","Bensonhurst - Bay Ridge","17.8","14.7","20.2"
"Annual Average 2016","UHF 42","210","4","Coney Island - Sheepshead Bay","15.6","13.1","17.7"
"Annual Average 2016","UHF 42","211","4","Williamsburg - Bushwick","20.8","20.1","21.6"
"Annual Average 2016","UHF 42","301","4","Washington Heights","19.8","16.4","22.6"
"Annual Average 2016","UHF 42","302","4","Central Harlem - Morningside Heights","22.2","20.6","23.6"
"Annual Average 2016","UHF 42","303","4","East Harlem","22.2","20.3","23.4"
"Annual Average 2016","UHF 42","304","4","Upper West Side","23.1","21.3","24.6"
"Annual Average 2016","UHF 42","305","4","Upper East Side","24.8","20.5","28.1"
"Annual Average 2016","UHF 42","306","4","Chelsea - Clinton","28.4","24.1","32.7"
"Annual Average 2016","UHF 42","307","4","Gramercy Park - Murray Hill","30.1","26.3","33.2"
